# Test porównawczy silników - 20.01.2026 21:39:07;;;;;;
# Sprzęt: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz | Intel(R) Iris(R) Xe Graphics;;;;;;
#;;;;;;
Threads;Width;Height;Iterations;GPU (OpenCL)_ms;CPU Parallel_ms;CPU Single_ms
1;2000;2000;1000;26;545;522
2;2000;2000;1000;16;297;504
3;2000;2000;1000;11;195;495
4;2000;2000;1000;12;163;512
5;2000;2000;1000;10;150;500
6;2000;2000;1000;14;131;492
7;2000;2000;1000;11;119;496
8;2000;2000;1000;11;116;501
9;2000;2000;1000;11;102;518
10;2000;2000;1000;10;116;595
11;2000;2000;1000;18;136;576
12;2000;2000;1000;12;107;593
13;2000;2000;1000;12;126;513
14;2000;2000;1000;11;103;510
15;2000;2000;1000;9;106;501
16;2000;2000;1000;15;107;490
17;2000;2000;1000;10;103;501
18;2000;2000;1000;11;108;498
19;2000;2000;1000;12;109;498
20;2000;2000;1000;9;109;493
21;2000;2000;1000;14;109;497
22;2000;2000;1000;11;106;509
23;2000;2000;1000;11;102;508
24;2000;2000;1000;11;105;512
25;2000;2000;1000;10;106;499
26;2000;2000;1000;13;101;502
27;2000;2000;1000;11;102;507
28;2000;2000;1000;12;103;502
29;2000;2000;1000;11;103;510
30;2000;2000;1000;9;105;505
31;2000;2000;1000;14;105;494
32;2000;2000;1000;10;102;499
